                                       1                                        2                                        3                                        4                                        5                                        6                                        7 
                          version_number                                 compiler                                    build                         MESA_SDK_version                                     date                                burn_min1                                burn_min2 
                                   12115                               "gfortran"                                  "9.2.0"                  "x86_64-linux-20190830"                               "20191203"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127                                      128                                      129                                      130                                      131                                      132                                      133                                      134                                      135                                      136                                      137                                      138                                      139                                      140                                      141                                      142                                      143                                      144                                      145                                      146                                      147                                      148                                      149                                      150                                      151                                      152                                      153                                      154                                      155                                      156                                      157                                      158                                      159                                      160                                      161                                      162                                      163                                      164                                      165                                      166                                      167                                      168                                      169                                      170                                      171                                      172                                      173                                      174                                      175                                      176                                      177                                      178                                      179                                      180                                      181                                      182                                      183                                      184                                      185                                      186                                      187                                      188                                      189                                      190                                      191                                      192                                      193                                      194                                      195                                      196                                      197                                      198                                      199                                      200                                      201                                      202                                      203                                      204                                      205                                      206                                      207                                      208                                      209                                      210                                      211                                      212                                      213                                      214                                      215                                      216                                      217                                      218                                      219                                      220                                      221                                      222                                      223                                      224                                      225                                      226                                      227                                      228                                      229                                      230                                      231                                      232                                      233                                      234                                      235                                      236                                      237                                      238                                      239                                      240                                      241                                      242                                      243                                      244                                      245                                      246                                      247                                      248                                      249                                      250                                      251                                      252                                      253                                      254                                      255                                      256                                      257                                      258                                      259                                      260                                      261                                      262                                      263                                      264                                      265                                      266                                      267                                      268                                      269                                      270                                      271                                      272                                      273                                      274                                      275                                      276                                      277                                      278                                      279                                      280                                      281                                      282                                      283                                      284                                      285                                      286                                      287                                      288                                      289                                      290                                      291                                      292                                      293                                      294                                      295                                      296                                      297                                      298                                      299                                      300                                      301                                      302                                      303                                      304                                      305                                      306                                      307                                      308                                      309                                      310                                      311                                      312                                      313                                      314                                      315                                      316                                      317                                      318                                      319                                      320                                      321                                      322                                      323                                      324                                      325 
                            model_number                                 star_age                                star_mass                             log_abs_mdot                log_rotational_mdot_boost                                   log_dt                                num_zones               log_total_angular_momentum                         log_max_residual                        log_residual_norm                    num_newton_iterations                                rel_E_err                            log_rel_E_err                        log_rel_run_E_err                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                             kh_timescale                                   log_LH                                  log_LHe                                    log_L                               luminosity                                 log_Teff                              effective_T                                    log_R                                    log_g                           surf_avg_j_rot                           surf_avg_omega                      surf_avg_omega_crit            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                          surf_avg_v_crit                    surf_avg_v_div_v_crit                   surf_avg_Lrad_div_Ledd                             log_center_T                           log_center_Rho                             log_center_P                             center_omega              center_omega_div_omega_crit                                center_ye                           center_entropy                              surface_he4                              surface_c12                              surface_n14                              surface_o16                                center_h1                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                              center_si28                               center_s32                              center_ar36                              center_ca40                              center_fe54                              center_fe56                              center_ni56                              center_cr56                           log_average_h1                           log_average_h2                          log_average_he3                          log_average_he4                          log_average_li7                               mix_type_1                               mix_qtop_1                               mix_type_2                               mix_qtop_2                               mix_type_3                               mix_qtop_3                               mix_type_4                               mix_qtop_4                               mix_type_5                               mix_qtop_5                               mix_type_6                               mix_qtop_6                               mix_type_7                               mix_qtop_7                               mix_type_8                               mix_qtop_8                               mix_type_9                               mix_qtop_9                              mix_type_10                              mix_qtop_10                              mix_type_11                              mix_qtop_11                              mix_type_12                              mix_qtop_12                              mix_type_13                              mix_qtop_13                              mix_type_14                              mix_qtop_14                              mix_type_15                              mix_qtop_15                              mix_type_16                              mix_qtop_16                              mix_type_17                              mix_qtop_17                              mix_type_18                              mix_qtop_18                              mix_type_19                              mix_qtop_19                              mix_type_20                              mix_qtop_20                              mix_type_21                              mix_qtop_21                              mix_type_22                              mix_qtop_22                              mix_type_23                              mix_qtop_23                              mix_type_24                              mix_qtop_24                              mix_type_25                              mix_qtop_25                              mix_type_26                              mix_qtop_26                              mix_type_27                              mix_qtop_27                              mix_type_28                              mix_qtop_28                              mix_type_29                              mix_qtop_29                              mix_type_30                              mix_qtop_30                              mix_type_31                              mix_qtop_31                              mix_type_32                              mix_qtop_32                              mix_type_33                              mix_qtop_33                              mix_type_34                              mix_qtop_34                              mix_type_35                              mix_qtop_35                              mix_type_36                              mix_qtop_36                              mix_type_37                              mix_qtop_37                              mix_type_38                              mix_qtop_38                              mix_type_39                              mix_qtop_39                              mix_type_40                              mix_qtop_40                              burn_type_1                              burn_qtop_1                              burn_type_2                              burn_qtop_2                              burn_type_3                              burn_qtop_3                              burn_type_4                              burn_qtop_4                              burn_type_5                              burn_qtop_5                              burn_type_6                              burn_qtop_6                              burn_type_7                              burn_qtop_7                              burn_type_8                              burn_qtop_8                              burn_type_9                              burn_qtop_9                             burn_type_10                             burn_qtop_10                             burn_type_11                             burn_qtop_11                             burn_type_12                             burn_qtop_12                             burn_type_13                             burn_qtop_13                             burn_type_14                             burn_qtop_14                             burn_type_15                             burn_qtop_15                             burn_type_16                             burn_qtop_16                             burn_type_17                             burn_qtop_17                             burn_type_18                             burn_qtop_18                             burn_type_19                             burn_qtop_19                             burn_type_20                             burn_qtop_20                             burn_type_21                             burn_qtop_21                             burn_type_22                             burn_qtop_22                             burn_type_23                             burn_qtop_23                             burn_type_24                             burn_qtop_24                             burn_type_25                             burn_qtop_25                             burn_type_26                             burn_qtop_26                             burn_type_27                             burn_qtop_27                             burn_type_28                             burn_qtop_28                             burn_type_29                             burn_qtop_29                             burn_type_30                             burn_qtop_30                             burn_type_31                             burn_qtop_31                             burn_type_32                             burn_qtop_32                             burn_type_33                             burn_qtop_33                             burn_type_34                             burn_qtop_34                             burn_type_35                             burn_qtop_35                             burn_type_36                             burn_qtop_36                             burn_type_37                             burn_qtop_37                             burn_type_38                             burn_qtop_38                             burn_type_39                             burn_qtop_39                             burn_type_40                             burn_qtop_40                             burn_type_41                             burn_qtop_41                             burn_type_42                             burn_qtop_42                             burn_type_43                             burn_qtop_43                             burn_type_44                             burn_qtop_44                             burn_type_45                             burn_qtop_45                             burn_type_46                             burn_qtop_46                             burn_type_47                             burn_qtop_47                             burn_type_48                             burn_qtop_48                             burn_type_49                             burn_qtop_49                             burn_type_50                             burn_qtop_50                             burn_type_51                             burn_qtop_51                             burn_type_52                             burn_qtop_52                             burn_type_53                             burn_qtop_53                             burn_type_54                             burn_qtop_54                             burn_type_55                             burn_qtop_55                             burn_type_56                             burn_qtop_56                             burn_type_57                             burn_qtop_57                             burn_type_58                             burn_qtop_58                             burn_type_59                             burn_qtop_59                             burn_type_60                             burn_qtop_60                             burn_type_61                             burn_qtop_61                             burn_type_62                             burn_qtop_62                             burn_type_63                             burn_qtop_63                             burn_type_64                             burn_qtop_64                             burn_type_65                             burn_qtop_65                             burn_type_66                             burn_qtop_66                             burn_type_67                             burn_qtop_67                             burn_type_68                             burn_qtop_68                             burn_type_69                             burn_qtop_69                             burn_type_70                             burn_qtop_70                             burn_type_71                             burn_qtop_71                             burn_type_72                             burn_qtop_72                             burn_type_73                             burn_qtop_73                             burn_type_74                             burn_qtop_74                             burn_type_75                             burn_qtop_75                             burn_type_76                             burn_qtop_76                             burn_type_77                             burn_qtop_77                             burn_type_78                             burn_qtop_78                             burn_type_79                             burn_qtop_79                             burn_type_80                             burn_qtop_80                        v_div_csound_surf                              num_retries                              num_backups 
                                    1184                  7.0980744449488008E+006                  2.5000000000000000E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.3499111535878006E+001                                      735                 -9.8999999999999986E+001                 -1.1107017166744622E+001                 -1.3951087909769129E+001                                        3                 -8.7580684388498820E-012                 -1.1057591665389756E+001                 -2.3633969400100865E+000                  9.9976558745450184E-001                  6.7875052788800727E-001                  6.6768761107056074E-001                  6.1825605499691338E-001                  9.9983166833429704E-001                  3.6228728443321656E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  9.0675745724908747E+000                  6.5708177294348307E+000                  6.5736206702120707E+000                  2.2134564212408350E+000                  1.6878369877774109E+000                  6.8067695221419640E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  5.4168678674902031E+000                  2.6113667347346185E+005                  3.6575210634806665E+000                  4.5448657948159316E+003                  2.9166506432363941E+000                  2.5280756123743902E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8500110109508903E+000                  9.1220074517116210E+000                  2.6860649239980777E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6356534363300295E-001                  9.9026282077903449E-001                  2.7997020236474873E-001                  3.4416073257058791E-003                  1.0081585205319855E-003                  9.3604492797742089E-003                  2.9486165323938736E-034                  2.9312393410294720E-003                  8.3911362219296095E-008                  8.5019926859379810E-035                  2.3772171029551200E-008                  1.3314106085891261E-010                  4.2186901401604126E-008                  8.0915490344928533E-009                  1.2445221453201316E-009                  3.1239504254548637E-010                  4.7383323148053709E-005                  9.9465698915180578E-001                  7.9480661511873377E-012                  0.0000000000000000E+000                 -4.1504809417657518E-001                 -9.8999999999999986E+001                 -5.0083481946466053E+000                 -4.8002039847208944E-001                 -9.8999999999999986E+001                                        5                  2.4769294907643069E-002                                        0                  6.4273125732543276E-002                                        1                  8.7016283197574942E-002                                        4                  9.4106263502411788E-002                                        2                  1.1090138375204765E-001                                        0                  1.1665619733075545E-001                                        2                  1.2817113486025183E-001                                        1                  1.3053365587154009E-001                                        2                  1.4186834799819772E-001                                        0                  1.5443547618168740E-001                                        4                  1.5628792250856399E-001                                        0                  1.9243976104811836E-001                                        2                  2.0527183411723421E-001                                        1                  2.2498884277081008E-001                                        2                  2.3011198392782128E-001                                        1                  2.4139560998994772E-001                                        0                  2.6724637633140064E-001                                        2                  2.8092715146308406E-001                                        1                  3.5181130825667850E-001                                        0                  3.5957834563346597E-001                                        1                  4.3056261191119904E-001                                        2                  4.3566615777227419E-001                                        1                  4.5769246642208988E-001                                        2                  4.6300456766833037E-001                                        1                  4.7990925511280819E-001                                        2                  4.8114518034781278E-001                                        1                  4.9998959819373689E-001                                        2                  5.0526313481815921E-001                                        1                  5.2225433294153112E-001                                        2                  5.2919446063568798E-001                                        1                  5.3797962618041484E-001                                        2                  5.3932075137392566E-001                                        1                  5.6310254854073749E-001                                        2                  5.7230976939365896E-001                                        1                  5.8756654512730966E-001                                        2                  5.9574543724951312E-001                                        1                  6.7134846454098918E-001                                        2                  6.7875052788800727E-001                                        1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                      -14                  3.5472945585729942E-002                                      -15                  3.7548193713469791E-002                                      -14                  4.1259369740596463E-002                                      -15                  4.8688551873342478E-002                                      -14                  6.4853629714880456E-002                                      -13                  6.5506869551500035E-002                                      -14                  6.7139969143049039E-002                                      -15                  6.7466589061358884E-002                                      -14                  7.4912500291753170E-002                                      -13                  8.5501650535551532E-002                                      -12                  1.0131092030514782E-001                                      -11                  1.1684296746604034E-001                                      -10                  1.3665144360353526E-001                                       -9                  1.5463673943427753E-001                                       -8                  1.7054975509283427E-001                                       -7                  1.8615207655535476E-001                                       -6                  2.0617354244853320E-001                                       -5                  2.3315426059877936E-001                                       -4                  2.5585040878997983E-001                                       -3                  2.7420718268644112E-001                                       -2                  2.9108085558679192E-001                                       -1                  3.0643781527560848E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  2.2186741695079771E+001                                        0                                        0 
                                    1190                  7.0980744449488008E+006                  2.5000000000000000E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.3024024059592257E+001                                      675                 -9.8999999999999986E+001                 -1.0954583082023916E+001                 -1.4283636370189555E+001                                        2                 -2.6308291122077386E-011                 -1.0579907360973788E+001                 -2.3634708522859880E+000                  9.9965777609860240E-001                  6.7875052788800727E-001                  6.6768761107056074E-001                  6.1825605499691338E-001                  9.9983166833429704E-001                  3.6175386099967261E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  9.0675745724908747E+000                  6.5708177294348307E+000                  6.5736206702120707E+000                  2.2134564212408350E+000                  1.6878369877774109E+000                  1.0364334123119693E+002                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  5.2342675080191423E+000                  1.7150133618225728E+005                  3.6118709736912940E+000                  4.0913908888093006E+003                  2.9166506430796098E+000                  2.5280759259429593E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8500110218228674E+000                  9.1220074852250264E+000                  2.6860649284788376E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6356534363300295E-001                  9.9026281930902671E-001                  2.7997020236492898E-001                  3.4416073251044670E-003                  1.0081585212336915E-003                  9.3604492797742071E-003                  2.9486165323938740E-034                  2.9312393410294720E-003                  8.3911362219296095E-008                  8.5019926859379810E-035                  2.3772171029551200E-008                  1.3314106085891261E-010                  4.2186901401604126E-008                  8.0915490344928533E-009                  1.2445221453201316E-009                  3.1239504254548637E-010                  4.7383323148053709E-005                  9.9465698915180578E-001                  7.9480661511873377E-012                  0.0000000000000000E+000                 -4.1504811439654354E-001                 -9.8999999999999986E+001                 -5.0083482729370363E+000                 -4.8002037460258046E-001                 -9.8999999999999986E+001                                        5                  2.4769294907643069E-002                                        0                  6.4853629714880456E-002                                        2                  8.7016284146060829E-002                                        0                  9.6778588651782738E-002                                        2                  1.4433944803634097E-001                                        0                  1.9243976104533514E-001                                        2                  2.0527183467901230E-001                                        1                  2.2498891887036321E-001                                        2                  2.3011198598049734E-001                                        1                  2.4139560997685297E-001                                        0                  2.6724637633140064E-001                                        2                  2.8092715146307806E-001                                        1                  3.5181130825687712E-001                                        0                  3.5957834563346597E-001                                        1                  3.9875620418260754E-001                                        2                  4.0363581425886558E-001                                        1                  4.3056261190182676E-001                                        2                  4.3566615777227419E-001                                        1                  4.5769246640488592E-001                                        2                  4.6300456768605919E-001                                        1                  4.7990925511280819E-001                                        2                  4.8114518037218662E-001                                        1                  4.9998959815988414E-001                                        2                  5.0526313484517515E-001                                        1                  5.2225433292104906E-001                                        2                  5.2919446063568798E-001                                        1                  5.3797962618041484E-001                                        2                  5.3932075142571101E-001                                        1                  5.6310254824023520E-001                                        2                  5.7230976939365896E-001                                        1                  5.8756654511020456E-001                                        2                  5.9574543724951312E-001                                        1                  6.1067031108779524E-001                                        2                  6.1825605499691338E-001                                        1                  6.7134846452798824E-001                                        2                  6.7875052788800727E-001                                        1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                      -14                  3.5472945585729942E-002                                      -15                  3.7548193713469791E-002                                      -14                  4.1259369740596463E-002                                      -15                  4.8688551873342478E-002                                      -14                  6.4853629714880456E-002                                      -13                  6.5506869551500035E-002                                      -14                  6.7139969143049039E-002                                      -15                  6.7466589061358884E-002                                      -14                  7.4912500291753170E-002                                      -13                  8.5501650535551532E-002                                      -12                  1.0131092030514782E-001                                      -11                  1.1684296746604034E-001                                      -10                  1.3665144360353526E-001                                       -9                  1.5463673943427753E-001                                       -8                  1.7054975509283427E-001                                       -7                  1.8615207655535476E-001                                       -6                  2.0617354244853320E-001                                       -5                  2.3315426059877936E-001                                       -4                  2.5585040878997983E-001                                       -3                  2.7420718268644112E-001                                       -2                  2.9108085558679192E-001                                       -1                  3.0643781527560848E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  4.8664991090862602E+000                                        0                                        0 
